material_id,formula,battery_family,india_feasibility_score,india_decision_label,target_is_stable,improved_pca_1,improved_pca_2,improved_pca_3,improved_pca_4,improved_pca_5,improved_pca_6,improved_pca_7,improved_pca_8
mp-3241091,LiBe4Pt,Other lithium material,51,Caution,1,0.032215,0.360038,0.336154,0.647282,0.68631,0.318493,0.419345,0.327816
mp-862554,LiEr2Ir,Other lithium material,61,Caution,1,0.027514,0.357551,0.332325,0.642627,0.690313,0.312882,0.418749,0.329212
mp-1176154,Li9Mn2Co5O16,LCO-family,39,Avoid / Benchmark,0,0.964741,0.002541,0.295448,0.647796,0.640062,0.812448,0.632423,0.230248
mp-550798,Li4CO4,Carbon-family,80,Recommend,0,0.726766,0.790007,0.438957,0.674307,0.474914,0.330935,0.213201,0.294988
mp-1110937,K2LiSbI6,Other lithium material,51,Caution,0,0.041708,0.369758,0.348737,0.615641,0.68921,0.300042,0.406953,0.355899
mp-3202121,LiTiPtRh,Other lithium material,63,Caution,1,0.042225,0.359314,0.342788,0.643489,0.691047,0.310334,0.412967,0.331936
mp-3212582,LiSc(IO3)4,Other lithium material,61,Caution,1,0.549156,0.330077,0.881384,0.622556,0.588451,0.610378,0.406242,0.211319
mp-754303,Li2MnFe3O8,LMO-family,83,Research Candidate,0,0.658864,0.243285,0.408835,0.597865,0.515111,0.065723,0.339137,0.327786
mp-3201482,NaLiMgSe2,Other lithium material,61,Caution,1,0.171012,0.46634,0.491455,0.716204,0.511551,0.586188,0.348319,0.196455
mp-861725,LiTl2Rh,Other lithium material,61,Caution,1,0.025502,0.356364,0.330573,0.644398,0.689916,0.314863,0.417923,0.325547
mp-3239876,LiCe(GeAu)2,Other lithium material,61,Caution,1,0.15683,0.440677,0.46905,0.753598,0.524316,0.59199,0.355652,0.154406
mp-758945,Li5CuHO4,Other lithium material,51,Caution,0,0.425505,0.520036,0.664531,0.619528,0.671489,0.506167,0.31882,0.089781
mp-764760,LiVOF3,Other lithium material,49,Caution,0,0.441565,0.561489,0.733254,0.668388,0.636057,0.528874,0.512142,0.532766
mp-780568,Li4Fe2(PO4)3,LFP-family,96,Recommend,0,0.625168,0.380479,0.554338,0.588868,0.532359,0.303557,0.016506,0.478021
mp-3211656,LiY6IrBr12,Other lithium material,61,Caution,1,0.342211,0.262092,0.723882,0.842591,0.411466,0.752644,0.468168,0.244383
mp-1192210,LiDySn,Other lithium material,61,Caution,1,0.110091,0.524813,0.448271,0.381041,0.372051,0.70229,0.500277,0.187363
mp-11806,LiMgSnPt,Other lithium material,61,Caution,1,0.016202,0.448315,0.337304,0.27926,0.533597,0.426964,0.552368,0.364132
mp-3211823,Ba3Na2(LiSb2)2,Other lithium material,61,Caution,1,0.346492,0.830621,0.471288,0.925666,0.459503,0.604278,0.436634,0.238657
mp-759926,Li2Ti(BO3)2,LTO-family,75,Research Candidate,0,0.733728,0.786898,0.442687,0.666032,0.484535,0.315585,0.2075,0.302267
mp-15797,LiErSe2,Other lithium material,61,Caution,1,0.13101,0.546369,0.471676,0.363798,0.358947,0.703921,0.499183,0.217408
mp-13322,LiGeRh2,Other lithium material,61,Caution,1,0.002401,0.447089,0.327633,0.277596,0.533043,0.428616,0.558523,0.363066
mp-849361,LiVF5,Other lithium material,47,Caution,0,0.338888,0.865016,0.521979,0.96138,0.434076,0.613358,0.635808,0.685935
mp-26701,Li3Sn2(PO4)3,Other lithium material,55,Caution,0,0.559388,0.893066,0.628685,0.715435,0.644564,0.45437,0.383663,0.205627
mp-557268,KLi4AlO4,Other lithium material,61,Caution,1,0.537156,0.994348,0.632392,0.329137,0.481463,0.566728,0.517769,0.259077
mp-552588,LiNbO3,Other lithium material,53,Caution,0,0.338122,0.59454,0.617657,0.179829,0.549217,0.561426,0.451075,0.157267
mp-765512,Li2CuF5,Other lithium material,47,Caution,0,0.206359,0.49532,0.56049,0.859555,0.459654,0.663686,0.569792,0.576176
mp-756590,Li2VFe3O8,Other lithium material,54,Caution,0,0.390149,0.463272,0.695914,0.571242,0.732718,0.381,0.177292,0.401074
mp-760236,Li2VCrP2(O4F)2,Other lithium material,59,Caution,1,0.55906,0.332818,0.928095,0.700948,0.587702,0.610767,0.595869,0.614464
mp-1175358,Li7Mn5O12,LMO-family,80,Research Candidate,0,0.818167,0.664719,0.329642,0.766477,0.425777,0.152213,0.557462,0.111072
mp-504354,LiBi(PO3)4,Other lithium material,63,Caution,1,0.564525,0.912188,0.642604,0.67999,0.635895,0.447312,0.374968,0.239031
mp-4426,Li4SeO5,Other lithium material,61,Caution,1,0.522615,0.982005,0.615729,0.355383,0.483022,0.57877,0.529546,0.232918
mp-770400,Li2AlNiO4,Other lithium material,47,Caution,0,0.556421,0.886642,0.623361,0.726761,0.646955,0.457542,0.385632,0.193547
mp-18220,LiAlSiO4,Silicon-family,87,Research Candidate,1,0.538553,0.511933,0.460749,0.104156,0.375742,0.42171,0.261477,0.286173
mp-1195757,Li2Sn(H5O4)2,Other lithium material,61,Caution,1,0.53418,0.994525,0.630934,0.328153,0.479645,0.569554,0.515229,0.256416
mp-27115,LiMoPO5,Other lithium material,53,Caution,0,0.447626,0.537621,0.686142,0.618215,0.656491,0.517088,0.319884,0.105781
mp-1225887,CsLiZnS2,Li-S or sulfide-family,78,Research Candidate,1,0.365449,0.348607,0.265138,0.703237,0.20542,0.480419,0.025732,0.350061
mp-3887,Li3GaN2,Other lithium material,61,Caution,1,0.019745,0.473466,0.352,0.24966,0.515387,0.432257,0.551405,0.39756
mp-1178044,Li2Cr3NiO8,Other lithium material,47,Caution,0,0.41851,0.52033,0.661202,0.60276,0.676382,0.494641,0.315652,0.100331
mp-3229928,LiTiPt6,Other lithium material,63,Caution,1,0.173231,0.455678,0.484212,0.7742,0.502329,0.620793,0.366797,0.153026
mp-17510,LiGa(WO4)2,Other lithium material,55,Caution,0,0.535522,0.989081,0.628436,0.339517,0.483314,0.569703,0.519863,0.248894
mp-1111072,Li3MnF6,Other lithium material,45,Caution,0,0.126568,0.277582,0.289844,0.752576,0.612096,0.137408,0.950938,0.611039
mp-1097264,BaSrLi2,Other lithium material,46,Caution,0,0.19669,0.469978,0.504355,0.800412,0.477126,0.656741,0.367281,0.141238
mp-1031514,LiMg6AlO8,Other lithium material,51,Caution,0,0.406004,0.543885,0.66893,0.514791,0.679774,0.454173,0.297066,0.169486
mp-3248856,LiLaH6Os,Other lithium material,61,Caution,1,0.047759,0.381567,0.358741,0.603211,0.680043,0.303865,0.402289,0.369139
mp-754051,LiFeF3,Other lithium material,45,Caution,0,0.180164,0.439306,0.596928,0.828404,0.51543,0.550198,0.432141,0.878406
mp-3252420,Li3Pr3HgAs2,Other lithium material,51,Caution,1,0.143343,0.433532,0.458048,0.741014,0.535339,0.576826,0.353809,0.157525
mp-861629,LiMnPd2,Other lithium material,64,Caution,1,0.126531,0.255522,0.240593,0.697689,0.627884,0.131334,0.75249,0.180669
mp-961703,NaLiPt,Other lithium material,46,Caution,0,0.03058,0.362453,0.336713,0.642418,0.683835,0.31992,0.416369,0.329667
mp-763447,Li5Ti2Co5O12,LCO-family,43,Avoid / Benchmark,0,0.879526,0.681907,0.144684,0.666984,0.746965,0.842903,0.267862,0.3886
mp-5853,LiSi2N3,Other lithium material,63,Caution,1,0.213023,0.611406,0.551468,0.379853,0.290671,0.769959,0.499411,0.252644
mp-754966,Li2MnF6,Other lithium material,60,Caution,1,0.270216,0.391523,0.450057,0.842275,0.420238,0.431673,0.888728,0.469212
mp-766971,Li4CrS4,Li-S or sulfide-family,68,Research Candidate,0,0.386742,0.35427,0.277223,0.757009,0.183096,0.523237,0.044504,0.323156
mp-3201968,K4LiBi2Au,Other lithium material,61,Caution,1,0.346927,0.837554,0.475582,0.912833,0.455336,0.603491,0.432259,0.248986
mp-977119,Li3Be,Other lithium material,36,Caution,0,0.11835,0.432189,0.440589,0.748122,0.527635,0.592352,0.365275,0.145737
mp-3250655,BaLi2Nd2Al7,Other lithium material,61,Caution,1,0.154603,0.439427,0.467169,0.753604,0.524972,0.591907,0.355035,0.152562
mp-759040,LiMn2(PO3)5,LMO-family,82,Research Candidate,0,0.837233,0.696182,0.359912,0.703738,0.415767,0.132561,0.536663,0.171093
mp-29364,Li5SbO5,Other lithium material,61,Caution,1,0.526449,0.987044,0.620664,0.349582,0.480305,0.578255,0.528716,0.240686
mp-3229967,Li3Dy3Si2Hg,Other lithium material,53,Caution,1,0.141779,0.432593,0.456677,0.742421,0.535041,0.578366,0.353178,0.154653
mp-1192111,LiEr(WO4)2,Other lithium material,61,Caution,1,0.538114,0.992719,0.631929,0.333303,0.482482,0.567039,0.519489,0.256627
mp-3245894,Li4DyUS6,Li-S or sulfide-family,78,Research Candidate,1,0.530491,0.718122,0.242882,0.873113,0.161097,0.474095,0.107088,0.421356
mp-1235567,LiV4O8,Other lithium material,46,Caution,0,0.552139,0.886398,0.619071,0.741877,0.641005,0.470519,0.395798,0.184102
mp-761221,LiFe2(BO3)2,Other lithium material,54,Caution,0,0.573871,0.286072,0.950656,0.660041,0.616331,0.546567,0.287005,0.488222
mp-1185325,LiCa2Pb,Other lithium material,45,Caution,0,0.026554,0.356984,0.331489,0.643472,0.690124,0.313827,0.418355,0.327463
mp-757325,Li3Ti(PO4)2,LTO-family,77,Research Candidate,0,0.727653,0.766808,0.427719,0.702159,0.493851,0.322452,0.216264,0.267623
mp-3249758,LiSmNi4,Other lithium material,57,Caution,1,0.031309,0.359504,0.335366,0.648079,0.686132,0.319384,0.418973,0.326167
mp-15820,LiHoGe,Other lithium material,61,Caution,1,0.108556,0.523976,0.447007,0.379511,0.373409,0.700389,0.50011,0.187849
mp-3252978,LiNdAlGa2,Other lithium material,61,Caution,1,0.183411,0.454927,0.490876,0.774166,0.504909,0.617017,0.359897,0.153029
mp-756431,Li2CuSnO4,Other lithium material,51,Caution,0,0.41903,0.517226,0.659613,0.612333,0.676386,0.498856,0.317512,0.092162
mp-3209068,Li3MgAs6Pd7,Other lithium material,51,Caution,1,0.155361,0.439874,0.467829,0.752937,0.525121,0.591161,0.355346,0.153943
mp-1120720,Li3InBr6,Other lithium material,53,Caution,0,0.158752,0.46526,0.482658,0.716442,0.510651,0.588636,0.355288,0.194985
mp-675779,Li2Mo3S4,Li-S or sulfide-family,78,Research Candidate,1,0.507499,0.145467,0.481497,0.795455,0.109835,0.632354,0.142254,0.413884
mp-1176183,Li9Mn2Co5O16,LCO-family,43,Avoid / Benchmark,0,0.965129,0.00277,0.295786,0.647454,0.640138,0.812066,0.632583,0.230955
mp-3249593,LiNdMgHg,Other lithium material,51,Caution,1,0.040579,0.35925,0.341886,0.643247,0.690144,0.311905,0.411673,0.330233
mp-3305163,LiCoPtO4,LCO-family,51,Avoid / Benchmark,1,0.740045,0.326425,0.188104,0.517855,0.771434,0.875236,0.190069,0.314622
mp-780850,Li3Mn4(BO3)4,LMO-family,82,Research Candidate,0,0.818855,0.093134,0.584879,0.681012,0.382208,0.295075,0.58045,0.114775
mp-775890,Li7V6(OF)12,Other lithium material,49,Caution,0,0.538948,0.323903,0.908693,0.728755,0.584209,0.628865,0.615448,0.590272
mp-12448,LiSm2OsO6,Other lithium material,61,Caution,1,0.531092,0.967819,0.613653,0.377274,0.494887,0.573931,0.530933,0.215246
mp-1174992,Li7Mn2(CoO4)3,LCO-family,44,Avoid / Benchmark,0,0.965579,0.003035,0.296178,0.647058,0.640227,0.811623,0.632768,0.231775
mp-16181,Li6Ca12Re4N16O3,Other lithium material,61,Caution,1,0.227416,0.488336,0.482495,0.101293,0.731653,0.27893,0.498653,0.294902
mp-37480,LiSbSe2,Other lithium material,55,Caution,0,0.162934,0.451575,0.476594,0.763069,0.509268,0.610377,0.364284,0.156186
mp-1293011,Li2VOF3,Other lithium material,47,Caution,0,0.542997,0.334899,0.917265,0.709142,0.579525,0.624417,0.61124,0.609941
mp-861716,Li2Fe2(SiO3)3,Silicon-family,80,Research Candidate,0,0.580522,0.37264,0.527216,0.515667,0.560053,0.249959,0.0,0.513316
mp-893219,Li5Mn6(BO3)6,LMO-family,75,Research Candidate,0,0.81827,0.093203,0.584602,0.681673,0.381261,0.296764,0.579758,0.11324
mp-557892,BaLi(BS2)3,Li-S or sulfide-family,78,Research Candidate,1,0.503403,0.815459,0.241769,0.489436,0.0,0.586748,0.240617,0.46866
mp-753223,LiVSiO4,Silicon-family,77,Research Candidate,0,0.597518,0.418709,0.480278,0.549576,0.51386,0.355708,0.139504,0.203791
mp-1175317,Li7Mn5O12,LMO-family,82,Research Candidate,0,0.809035,0.093856,0.578344,0.684851,0.377582,0.303053,0.586985,0.110839
mp-759186,LiVF5,Other lithium material,47,Caution,0,0.339533,0.867472,0.523757,0.956943,0.432881,0.612612,0.634656,0.690073
mp-1174632,Li4MnCo2O7,LCO-family,44,Avoid / Benchmark,0,0.967457,0.009901,0.301189,0.634668,0.636929,0.809466,0.629611,0.243419
mp-753754,LiVSiO4,Silicon-family,77,Research Candidate,0,0.732333,0.783591,0.440016,0.671892,0.485843,0.317091,0.208622,0.296178
mp-3261285,LiHo3Ir8,Other lithium material,61,Caution,1,0.153772,0.445248,0.468236,0.759087,0.516568,0.602407,0.363699,0.154098
mp-3253300,Li2NdAgAs2,Other lithium material,51,Caution,1,0.164133,0.447874,0.477017,0.749125,0.519372,0.593733,0.355322,0.163346
mp-559584,LiCaNiF6,Other lithium material,53,Caution,1,0.131926,0.552345,0.51373,0.444279,0.350743,0.714767,0.693797,0.617838
mp-752946,Li2CoSiO4,LCO-family,45,Avoid / Benchmark,0,0.880923,0.694457,0.15285,0.637466,0.743747,0.832947,0.261627,0.41532
mp-1022597,LiMg6Zn,Other lithium material,51,Caution,0,0.22086,0.481073,0.523194,0.815321,0.465163,0.670604,0.373756,0.145728
mp-6270,Ba2LiReO6,Other lithium material,61,Caution,1,0.225994,0.505415,0.490012,0.071888,0.724259,0.27235,0.501707,0.327857
mp-1111291,Li3AlF6,Other lithium material,46,Caution,0,0.042432,0.428178,0.417864,0.610222,0.652116,0.302169,0.596171,0.843524
mp-3323200,Li4IrO5,Other lithium material,61,Caution,1,0.536463,0.308627,0.86034,0.667106,0.596302,0.622285,0.425561,0.1729
mp-766018,Li2Mn(CO3)2,LMO-family,82,Research Candidate,0,0.825775,0.120373,0.604471,0.63266,0.368255,0.288155,0.567329,0.159395
mp-1211106,LiPr2RuO6,Other lithium material,61,Caution,1,0.555886,0.877514,0.617728,0.743664,0.652463,0.458542,0.391423,0.179985
mp-3223992,Li4Tb(SmPb2)2,Other lithium material,51,Caution,1,0.212297,0.470442,0.514622,0.795635,0.484313,0.643186,0.364643,0.152534
mp-25388,Li(NiO2)2,Other lithium material,49,Caution,0,0.231194,0.399694,0.472982,0.468226,0.883025,0.172844,0.372133,0.258162
mp-1290870,Li3Mn(PO4)2,LMO-family,86,Research Candidate,0,0.822251,0.103394,0.592677,0.662628,0.377619,0.291288,0.576214,0.132755
mp-3206970,LiPdRhF6,Other lithium material,57,Caution,1,0.155412,0.469114,0.521266,0.797193,0.503065,0.600243,0.5484,0.591399
mp-801254,LiVFe(P2O7)2,LFP-family,89,Recommend,0,0.7366,0.154914,0.745717,0.647339,0.464107,0.421523,0.103438,0.533157
mp-753130,Li4CuF7,Other lithium material,47,Caution,0,0.333367,0.852635,0.511832,0.982336,0.439367,0.618148,0.639933,0.663906
mp-780191,Li4Co3OF11,LCO-family,37,Avoid / Benchmark,0,0.859118,0.126781,0.433035,0.645879,0.6828,1.00639,0.491629,0.802875
mp-758793,Li2CuSiO4,Silicon-family,77,Research Candidate,0,0.725396,0.764796,0.425355,0.705413,0.493839,0.324711,0.215801,0.262541
mp-3251246,CsLi2TbBi2,Other lithium material,61,Caution,1,0.159076,0.446902,0.473878,0.742484,0.521637,0.589516,0.353233,0.165496
mp-753080,Li3V(OF)2,Other lithium material,47,Caution,0,0.419547,0.543676,0.711594,0.667399,0.652964,0.514459,0.511828,0.519722
mp-771170,Li3Zn2Fe19O32,Other lithium material,54,Caution,0,0.571219,0.283819,0.947944,0.663658,0.616247,0.549214,0.286386,0.482409
mp-1196988,K5Li2PrF10,Other lithium material,57,Caution,1,0.207289,0.633203,0.599618,0.402759,0.285052,0.75335,0.682756,0.699933
mp-3258524,Sr2LiAlSb4,Other lithium material,61,Caution,1,0.347024,0.833024,0.472966,0.92222,0.457709,0.604778,0.435258,0.241549
mp-25410,LiMnPO4F,LMO-family,88,Research Candidate,1,0.819485,0.114118,0.635615,0.730693,0.365985,0.301979,0.765106,0.539545
mp-753866,Li2VCr(P2O7)2,Other lithium material,63,Caution,1,0.561568,0.320223,0.883913,0.637233,0.599812,0.601558,0.407873,0.203688
mp-3215276,Sr4LiCuO6,Other lithium material,61,Caution,1,0.430056,0.528918,0.672137,0.60305,0.669008,0.500218,0.316633,0.107983
mp-3209214,Na3Li2TiSb3,Other lithium material,63,Caution,1,0.217628,0.476709,0.52102,0.791544,0.479399,0.645723,0.363513,0.159276
mp-3333259,LiY3Pd5,Other lithium material,61,Caution,1,0.134341,0.434835,0.452284,0.743949,0.530812,0.583993,0.360612,0.15522
mp-1259488,LiFe(SiO3)2,Silicon-family,82,Research Candidate,0,0.656804,0.417547,0.592251,0.563409,0.504155,0.316861,0.010147,0.519493
mp-1209665,Rb3LiPb4,Other lithium material,51,Caution,1,0.208389,0.478727,0.515539,0.794011,0.473712,0.654213,0.369465,0.156698
mp-757535,Li35(RuO4)12,Other lithium material,55,Caution,0,0.548546,0.877683,0.612075,0.757337,0.644498,0.47441,0.398821,0.168137
mp-760408,LiZnO2,Other lithium material,51,Caution,0,0.368845,0.493572,0.618314,0.591267,0.702215,0.470493,0.319241,0.084989
mp-1177309,Li4V3P8O29,Other lithium material,53,Caution,0,0.560291,0.879695,0.621223,0.748824,0.648485,0.464452,0.391987,0.177863
mp-3211688,Li4Ca3(GeN3)2,Other lithium material,61,Caution,1,0.352118,0.85225,0.486923,0.886572,0.44895,0.597755,0.426457,0.275059
mp-1175160,Li7Mn4CoO12,LCO-family,46,Avoid / Benchmark,0,0.967285,0.0084,0.300229,0.636512,0.638355,0.808575,0.630665,0.242168
mp-3204513,Li3Hf(Ta2N3)4,Other lithium material,61,Caution,1,0.16923,0.447516,0.479407,0.757338,0.518545,0.596848,0.35852,0.160395
mp-1040115,NaLiMg30O31,Other lithium material,53,Caution,0,0.45681,0.549289,0.697718,0.605818,0.649777,0.5168,0.318032,0.122948
mp-555082,CsLi5(BO3)2,Other lithium material,61,Caution,1,0.535848,0.990451,0.629431,0.335199,0.483764,0.567048,0.519533,0.253291
mp-1174511,Li7Mn2(CoO4)3,LCO-family,44,Avoid / Benchmark,0,0.965089,0.002925,0.295867,0.646238,0.640584,0.81096,0.632614,0.232199
mp-3207657,Li5Al16InPt7,Other lithium material,61,Caution,1,0.191757,0.459469,0.497791,0.778543,0.499981,0.622453,0.361545,0.154953
mp-778478,Li5NiO4,Other lithium material,47,Caution,0,0.420807,0.532778,0.667721,0.602998,0.661574,0.509755,0.321151,0.106966
mp-5920,LiAlGe,Other lithium material,61,Caution,1,0.006355,0.449457,0.331001,0.282308,0.528687,0.434945,0.558593,0.360769
mp-3203106,LiGa2AgS4,Li-S or sulfide-family,78,Research Candidate,1,0.385813,0.359718,0.281947,0.720949,0.188994,0.502449,0.028423,0.346606
mp-758521,LiCoSiO4,LCO-family,43,Avoid / Benchmark,0,0.738548,0.32295,0.185365,0.516665,0.777334,0.867763,0.192581,0.316681
mp-1211322,Li2Sm(NO3)5,Other lithium material,61,Caution,1,0.433637,0.545128,0.683469,0.578198,0.657894,0.501614,0.307639,0.129338
mp-752552,Li2V(CO3)2,Carbon-family,85,Recommend,0,0.552064,0.398419,0.445314,0.509508,0.542773,0.316045,0.128963,0.208838
mp-603606,Li2Fe3(P2O7)2,LFP-family,94,Recommend,0,0.75423,0.750832,0.514415,0.686869,0.505512,0.254224,0.079595,0.587448
mp-759449,Li3Ag2F5,Other lithium material,47,Caution,0,0.329023,0.292901,0.769508,0.886518,0.38342,0.770644,0.664739,0.677888
mp-776176,Li4Ti3V3(CuO8)2,LTO-family,75,Research Candidate,0,0.728517,0.195185,0.682973,0.621392,0.447568,0.470828,0.238572,0.26614
mp-777457,Li2FeF4,Other lithium material,50,Caution,0,0.366486,0.850137,0.609854,0.94427,0.445624,0.544098,0.49922,1.008325
mp-807730,LiV2P4(HO8)2,Other lithium material,48,Caution,0,0.528103,0.287015,0.84688,0.691797,0.601789,0.635221,0.403318,0.123497
mp-1662960,Li2CoSn(PO4)2,LCO-family,43,Avoid / Benchmark,0,0.888971,0.691316,0.157026,0.638665,0.748331,0.827922,0.255133,0.413007
mp-3324303,Li3MgZn8,Other lithium material,61,Caution,1,0.151318,0.443801,0.466099,0.761247,0.516084,0.604822,0.362692,0.149628
mp-753136,Li2MnV2O6,LMO-family,80,Research Candidate,0,0.820037,0.098895,0.588877,0.670531,0.379216,0.29364,0.577483,0.12416
mp-3201318,Li2TiAs2Pd,Other lithium material,53,Caution,1,0.187222,0.457953,0.494608,0.773032,0.502893,0.617767,0.360252,0.156837
mp-3212907,Li2IrRhS8,Li-S or sulfide-family,78,Research Candidate,1,0.510513,0.13245,0.477261,0.812129,0.118961,0.630385,0.138743,0.394657
mp-29250,Li6VCl8,Other lithium material,61,Caution,1,0.011167,0.461661,0.340778,0.252351,0.528783,0.419483,0.55571,0.392462
mp-3259042,Li(TiS2)4,Li-S or sulfide-family,80,Research Candidate,1,0.513894,0.70653,0.225645,0.892,0.164408,0.48124,0.1177,0.400624
mp-18997,LiMnPO4,LMO-family,92,Research Candidate,1,0.68244,0.422465,0.399036,0.222745,0.283309,0.292155,0.608855,0.110362
mp-766599,Li3VPCO7,Carbon-family,87,Recommend,0,0.732982,0.212122,0.695247,0.590792,0.439337,0.465664,0.23065,0.294702
mp-3248087,Li2Sm2Si2Sb,Other lithium material,63,Caution,1,0.218002,0.473553,0.519355,0.79843,0.481056,0.646672,0.3658,0.154072
mp-3253559,KLiThS3,Li-S or sulfide-family,78,Research Candidate,1,0.403277,0.374421,0.299531,0.714807,0.178842,0.506604,0.029363,0.364542
mp-766823,Li7Ti11O24,LTO-family,85,Research Candidate,1,0.721709,0.768321,0.423661,0.707209,0.489805,0.328968,0.225068,0.266489
mp-3170159,Li4La3PrSi8,Other lithium material,63,Caution,1,0.348551,0.831181,0.472633,0.930582,0.456919,0.609101,0.436907,0.235105
mp-1026831,SrLiMg14,Other lithium material,51,Caution,0,0.220642,0.480944,0.523004,0.815513,0.46512,0.670819,0.373666,0.145331
mp-763567,LiV(CO3)2,Carbon-family,84,Recommend,0,0.734813,0.783989,0.441445,0.680871,0.481329,0.326067,0.208667,0.288563
mp-3290367,Li3Ac4In5,Other lithium material,61,Caution,1,0.339438,0.832434,0.46678,0.933585,0.452359,0.616378,0.443653,0.232619
mp-686160,Li17Nb20O60,Other lithium material,53,Caution,0,0.540706,0.30771,0.862019,0.670667,0.598749,0.619428,0.429466,0.174683
mp-3247572,Li2Dy2Si3,Other lithium material,63,Caution,1,0.208772,0.474737,0.513401,0.801536,0.476473,0.654063,0.372498,0.151374
mp-1174329,Li5Mn2CoO8,LCO-family,46,Avoid / Benchmark,0,0.980634,0.584942,0.057018,0.713063,0.682508,0.659091,0.599848,0.249336
mp-1100586,Li9Mn2Co5O16,LCO-family,43,Avoid / Benchmark,0,0.976423,0.574812,0.048879,0.730108,0.687116,0.662511,0.603503,0.231806
mp-3202744,LiY(NiIr)2,Other lithium material,57,Caution,1,0.227714,0.478678,0.527255,0.808443,0.472564,0.658725,0.366971,0.15074
mp-8407,Li3LaP2,Other lithium material,63,Caution,1,0.152064,0.448617,0.4694,0.745088,0.517987,0.594766,0.361372,0.165726
mp-1194993,Cs2LiNd(BO3)2,Other lithium material,61,Caution,1,0.425013,0.642505,0.693821,0.195749,0.50305,0.603693,0.440291,0.184824
