material_id,formula,battery_family,india_feasibility_score,india_decision_label,is_stable,target_is_stable,space_group_number,band_gap,formation_energy_per_atom,number_of_elements,has_fe,has_p,has_mn,has_c,has_si,has_s,scaled_space_group_number,scaled_band_gap,scaled_formation_energy_per_atom,scaled_number_of_elements,scaled_has_fe,scaled_has_p,scaled_has_mn,scaled_has_c,scaled_has_si,scaled_has_s
mp-777875,LiFeF4,Other lithium material,54,Caution,0,0,60,3.6116,-2.816451553,3,1,0,0,0,0,0,0.257642,0.483358,0.149963,0.25,1.0,0.0,0.0,0.0,0.0,0.0
mp-3249015,LiPmInAg,Other lithium material,61,Caution,1,1,216,0.0,-0.47379404,4,0,0,0,0,0,0,0.938865,0.0,0.439668,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-757188,Li2MnSi4O11,LMO-family,82,Research Candidate,0,0,87,0.0637,-2.827900196,4,0,0,1,0,1,0,0.375546,0.008525,0.148547,0.5,0.0,0.0,1.0,0.0,1.0,0.0
mp-765412,Li4V3P8O29,Other lithium material,55,Caution,0,0,1,0.4864,-2.575417427,4,0,1,0,0,0,0,0.0,0.065097,0.17977,0.5,0.0,1.0,0.0,0.0,0.0,0.0
mp-757311,Li2Fe3(Si3O8)2,Silicon-family,80,Research Candidate,0,0,2,2.9702,-2.757814065,4,1,0,0,0,1,0,0.004367,0.397516,0.157214,0.5,1.0,0.0,0.0,0.0,1.0,0.0
mp-1110938,K2LiPrI6,Other lithium material,51,Caution,0,0,225,2.9382,-1.574891509,4,0,0,0,0,0,0,0.978166,0.393233,0.303501,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3247032,LiTmUPt3,Other lithium material,61,Caution,1,1,8,0.0,-1.044272625,4,0,0,0,0,0,0,0.030568,0.0,0.36912,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-1177159,Li5Fe4(P2O7)4,LFP-family,94,Recommend,0,0,1,1.1907,-2.474217697,4,1,1,0,0,0,0,0.0,0.159357,0.192285,0.5,1.0,1.0,0.0,0.0,0.0,0.0
mp-759028,Li3Sb3(PO4)4,Other lithium material,53,Caution,0,0,4,3.3385,-2.424679381,4,0,1,0,0,0,0,0.0131,0.446807,0.198411,0.5,0.0,1.0,0.0,0.0,0.0,0.0
mp-3252103,LiTbDyRu,Other lithium material,61,Caution,1,1,216,0.0,-0.291078497,4,0,0,0,0,0,0,0.938865,0.0,0.462264,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-1373887,Li9Mn2Co5O16,LCO-family,39,Avoid / Benchmark,0,0,1,0.0058,-0.648628532,4,0,0,1,0,0,0,0.0,0.000776,0.418047,0.5,0.0,0.0,1.0,0.0,0.0,0.0
mp-3239824,Li2LaPt3,Other lithium material,61,Caution,1,1,191,0.0,-0.90585942,3,0,0,0,0,0,0,0.829694,0.0,0.386237,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-867926,LiInPd2,Other lithium material,61,Caution,1,1,225,0.0,-0.612904544,3,0,0,0,0,0,0,0.978166,0.0,0.422465,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-850927,Li2Co(SO4)2,LCO-family,46,Avoid / Benchmark,0,0,61,2.9451,-2.038863897,4,0,0,0,0,0,1,0.262009,0.394157,0.246123,0.5,0.0,0.0,0.0,0.0,0.0,1.0
mp-3329272,Li2PrP2Pd,Other lithium material,63,Caution,1,1,156,0.0,-1.088580795,4,0,1,0,0,0,0,0.676856,0.0,0.36364,0.5,0.0,1.0,0.0,0.0,0.0,0.0
mp-3241091,LiBe4Pt,Other lithium material,51,Caution,1,1,216,0.0,-0.464293388,3,0,0,0,0,0,0,0.938865,0.0,0.440843,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-862554,LiEr2Ir,Other lithium material,61,Caution,1,1,225,0.0,-0.621027141,3,0,0,0,0,0,0,0.978166,0.0,0.421461,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-1176154,Li9Mn2Co5O16,LCO-family,39,Avoid / Benchmark,0,0,1,0.0,-1.675710485,4,0,0,1,0,0,0,0.0,0.0,0.291033,0.5,0.0,0.0,1.0,0.0,0.0,0.0
mp-550798,Li4CO4,Carbon-family,80,Recommend,0,0,5,3.0943,-1.905221176,3,0,0,0,1,0,0,0.017467,0.414125,0.26265,0.25,0.0,0.0,0.0,1.0,0.0,0.0
mp-1110937,K2LiSbI6,Other lithium material,51,Caution,0,0,225,1.7108,-1.13611341,4,0,0,0,0,0,0,0.978166,0.228965,0.357762,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3202121,LiTiPtRh,Other lithium material,63,Caution,1,1,216,0.0,-0.843521293,4,0,0,0,0,0,0,0.938865,0.0,0.393946,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3212582,LiSc(IO3)4,Other lithium material,61,Caution,1,1,2,3.9209,-1.050844969,4,0,0,0,0,0,0,0.004367,0.524753,0.368307,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-754303,Li2MnFe3O8,LMO-family,83,Research Candidate,0,0,166,0.0,-1.752984432,4,1,0,1,0,0,0,0.720524,0.0,0.281477,0.5,1.0,0.0,1.0,0.0,0.0,0.0
mp-3201482,NaLiMgSe2,Other lithium material,61,Caution,1,1,156,2.8697,-1.433814262,4,0,0,0,0,0,0,0.676856,0.384066,0.320947,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-861725,LiTl2Rh,Other lithium material,61,Caution,1,1,225,0.0,-0.149139517,3,0,0,0,0,0,0,0.978166,0.0,0.479817,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-3239876,LiCe(GeAu)2,Other lithium material,61,Caution,1,1,164,0.0,-0.645336858,4,0,0,0,0,0,0,0.71179,0.0,0.418454,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-758945,Li5CuHO4,Other lithium material,51,Caution,0,0,62,0.3567,-1.731310787,4,0,0,0,0,0,0,0.266376,0.047739,0.284157,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-764760,LiVOF3,Other lithium material,49,Caution,0,0,33,2.1327,-2.964274133,4,0,0,0,0,0,0,0.139738,0.285429,0.131682,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-780568,Li4Fe2(PO4)3,LFP-family,96,Recommend,0,0,60,0.0,-2.498021833,4,1,1,0,0,0,0,0.257642,0.0,0.189341,0.5,1.0,1.0,0.0,0.0,0.0,0.0
mp-3211656,LiY6IrBr12,Other lithium material,61,Caution,1,1,2,0.0,-1.932866778,4,0,0,0,0,0,0,0.004367,0.0,0.259231,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-1192210,LiDySn,Other lithium material,61,Caution,1,1,186,0.0044,-0.645973769,3,0,0,0,0,0,0,0.80786,0.000589,0.418376,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-11806,LiMgSnPt,Other lithium material,61,Caution,1,1,216,0.0,-0.658418388,4,0,0,0,0,0,0,0.938865,0.0,0.416837,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3211823,Ba3Na2(LiSb2)2,Other lithium material,61,Caution,1,1,12,0.076,-0.987967582,4,0,0,0,0,0,0,0.048035,0.010171,0.376083,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-759926,Li2Ti(BO3)2,LTO-family,75,Research Candidate,0,0,14,2.9516,-2.89925762,4,0,0,0,0,0,0,0.056769,0.395027,0.139722,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-15797,LiErSe2,Other lithium material,61,Caution,1,1,166,1.6151,-1.957845522,3,0,0,0,0,0,0,0.720524,0.216157,0.256142,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-13322,LiGeRh2,Other lithium material,61,Caution,1,1,225,0.0,-0.649343292,3,0,0,0,0,0,0,0.978166,0.0,0.417959,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-849361,LiVF5,Other lithium material,47,Caution,0,0,14,1.7354,-3.034312987,3,0,0,0,0,0,0,0.056769,0.232257,0.123021,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-26701,Li3Sn2(PO4)3,Other lithium material,55,Caution,0,0,14,2.5065,-2.518207703,4,0,1,0,0,0,0,0.056769,0.335457,0.186845,0.5,0.0,1.0,0.0,0.0,0.0,0.0
mp-557268,KLi4AlO4,Other lithium material,61,Caution,1,1,14,4.149,-2.410383531,4,0,0,0,0,0,0,0.056769,0.55528,0.200179,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-552588,LiNbO3,Other lithium material,53,Caution,0,0,167,2.275,-2.86650962,3,0,0,0,0,0,0,0.724891,0.304474,0.143772,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-765512,Li2CuF5,Other lithium material,47,Caution,0,0,62,0.0,-2.360225285,3,0,0,0,0,0,0,0.266376,0.0,0.206382,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-756590,Li2VFe3O8,Other lithium material,54,Caution,0,0,166,1.0348,-1.98514178,4,1,0,0,0,0,0,0.720524,0.138492,0.252767,0.5,1.0,0.0,0.0,0.0,0.0,0.0
mp-760236,Li2VCrP2(O4F)2,Other lithium material,59,Caution,1,1,2,1.9782,-2.798268717,6,0,1,0,0,0,0,0.004367,0.264752,0.152211,1.0,0.0,1.0,0.0,0.0,0.0,0.0
mp-1175358,Li7Mn5O12,LMO-family,80,Research Candidate,0,0,10,0.0,-2.091780206,3,0,0,1,0,0,0,0.039301,0.0,0.239579,0.25,0.0,0.0,1.0,0.0,0.0,0.0
mp-504354,LiBi(PO3)4,Other lithium material,63,Caution,1,1,15,5.1324,-2.565099889,4,0,1,0,0,0,0,0.061135,0.686894,0.181046,0.5,0.0,1.0,0.0,0.0,0.0,0.0
mp-4426,Li4SeO5,Other lithium material,61,Caution,1,1,15,2.4442,-1.950933553,3,0,0,0,0,0,0,0.061135,0.327119,0.256997,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-770400,Li2AlNiO4,Other lithium material,47,Caution,0,0,14,1.7424,-2.199885543,4,0,0,0,0,0,0,0.056769,0.233194,0.22621,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-18220,LiAlSiO4,Silicon-family,87,Research Candidate,1,1,146,5.2489,-3.210481966,4,0,0,0,0,1,0,0.633188,0.702485,0.101235,0.5,0.0,0.0,0.0,0.0,1.0,0.0
mp-1195757,Li2Sn(H5O4)2,Other lithium material,61,Caution,1,1,14,4.465,-1.556123496,4,0,0,0,0,0,0,0.056769,0.597572,0.305822,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-27115,LiMoPO5,Other lithium material,53,Caution,0,0,33,1.2488,-2.421211163,4,0,1,0,0,0,0,0.139738,0.167133,0.19884,0.5,0.0,1.0,0.0,0.0,0.0,0.0
mp-1225887,CsLiZnS2,Li-S or sulfide-family,78,Research Candidate,1,1,119,2.5019,-1.327543826,4,0,0,0,0,0,1,0.515284,0.334841,0.334089,0.5,0.0,0.0,0.0,0.0,0.0,1.0
mp-3887,Li3GaN2,Other lithium material,61,Caution,1,1,206,2.7387,-0.705241146,3,0,0,0,0,0,0,0.895197,0.366533,0.411046,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-1178044,Li2Cr3NiO8,Other lithium material,47,Caution,0,0,78,0.9962,-2.013266431,4,0,0,0,0,0,0,0.336245,0.133326,0.249289,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3229928,LiTiPt6,Other lithium material,63,Caution,1,1,123,0.0,-0.723837935,3,0,0,0,0,0,0,0.532751,0.0,0.408746,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-17510,LiGa(WO4)2,Other lithium material,55,Caution,0,0,13,3.4506,-2.232479408,4,0,0,0,0,0,0,0.052402,0.46181,0.22218,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-1111072,Li3MnF6,Other lithium material,45,Caution,0,0,225,0.0,-2.775038927,3,0,0,1,0,0,0,0.978166,0.0,0.155084,0.25,0.0,0.0,1.0,0.0,0.0,0.0
mp-1097264,BaSrLi2,Other lithium material,46,Caution,0,0,71,0.3457,1.220509848,3,0,0,0,0,0,0,0.305677,0.046267,0.649195,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-1031514,LiMg6AlO8,Other lithium material,51,Caution,0,0,123,5.8199,-2.992512326,4,0,0,0,0,0,0,0.532751,0.778905,0.12819,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3248856,LiLaH6Os,Other lithium material,61,Caution,1,1,216,3.1047,-0.607148404,4,0,0,0,0,0,0,0.938865,0.415517,0.423177,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-754051,LiFeF3,Other lithium material,45,Caution,0,0,148,0.0107,-2.573896029,3,1,0,0,0,0,0,0.641921,0.001432,0.179958,0.25,1.0,0.0,0.0,0.0,0.0,0.0
mp-3252420,Li3Pr3HgAs2,Other lithium material,51,Caution,1,1,189,0.0027,-0.978572423,4,0,0,0,0,0,0,0.820961,0.000361,0.377245,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-861629,LiMnPd2,Other lithium material,64,Caution,1,1,225,0.0,-0.365073503,3,0,0,1,0,0,0,0.978166,0.0,0.453113,0.25,0.0,0.0,1.0,0.0,0.0,0.0
mp-961703,NaLiPt,Other lithium material,46,Caution,0,0,216,0.5526,0.192076146,3,0,0,0,0,0,0,0.938865,0.073957,0.522013,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-763447,Li5Ti2Co5O12,LCO-family,43,Avoid / Benchmark,0,0,5,0.6289,-2.107153793,4,0,0,0,0,0,0,0.017467,0.084169,0.237678,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-5853,LiSi2N3,Other lithium material,63,Caution,1,1,36,5.0143,-1.323993021,3,0,0,0,0,1,0,0.152838,0.671088,0.334528,0.25,0.0,0.0,0.0,0.0,1.0,0.0
mp-754966,Li2MnF6,Other lithium material,60,Caution,1,1,136,2.7177,-2.868434593,3,0,0,1,0,0,0,0.58952,0.363723,0.143534,0.25,0.0,0.0,1.0,0.0,0.0,0.0
mp-766971,Li4CrS4,Li-S or sulfide-family,68,Research Candidate,0,0,62,0.5865,-1.261477365,3,0,0,0,0,0,1,0.266376,0.078494,0.342259,0.25,0.0,0.0,0.0,0.0,0.0,1.0
mp-3201968,K4LiBi2Au,Other lithium material,61,Caution,1,1,12,1.1676,-0.550626269,4,0,0,0,0,0,0,0.048035,0.156265,0.430167,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-977119,Li3Be,Other lithium material,36,Caution,0,0,194,0.0,0.245188025,2,0,0,0,0,0,0,0.842795,0.0,0.528581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mp-3250655,BaLi2Nd2Al7,Other lithium material,61,Caution,1,1,166,0.0,-0.402867951,4,0,0,0,0,0,0,0.720524,0.0,0.448439,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-759040,LiMn2(PO3)5,LMO-family,82,Research Candidate,0,0,11,4.3842,-2.56800168,4,0,1,1,0,0,0,0.043668,0.586758,0.180687,0.5,0.0,1.0,1.0,0.0,0.0,0.0
mp-29364,Li5SbO5,Other lithium material,61,Caution,1,1,12,2.914,-2.198206254,3,0,0,0,0,0,0,0.048035,0.389995,0.226418,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-3229967,Li3Dy3Si2Hg,Other lithium material,53,Caution,1,1,189,0.0,-0.613201536,4,0,0,0,0,1,0,0.820961,0.0,0.422428,0.5,0.0,0.0,0.0,0.0,1.0,0.0
mp-1192111,LiEr(WO4)2,Other lithium material,61,Caution,1,1,13,3.7954,-2.66988213,4,0,0,0,0,0,0,0.052402,0.507956,0.168088,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3245894,Li4DyUS6,Li-S or sulfide-family,78,Research Candidate,1,1,5,1.4149,-1.787600529,4,0,0,0,0,0,1,0.017467,0.189363,0.277196,0.5,0.0,0.0,0.0,0.0,0.0,1.0
mp-1235567,LiV4O8,Other lithium material,46,Caution,0,0,5,1.0784,-2.233056911,3,0,0,0,0,0,0,0.017467,0.144327,0.222108,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-761221,LiFe2(BO3)2,Other lithium material,54,Caution,0,0,1,1.4369,-2.265111655,4,1,0,0,0,0,0,0.0,0.192307,0.218144,0.5,1.0,0.0,0.0,0.0,0.0,0.0
mp-1185325,LiCa2Pb,Other lithium material,45,Caution,0,0,225,0.0,-0.395827721,3,0,0,0,0,0,0,0.978166,0.0,0.44931,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-757325,Li3Ti(PO4)2,LTO-family,77,Research Candidate,0,0,14,0.2527,-2.80830455,4,0,1,0,0,0,0,0.056769,0.03382,0.15097,0.5,0.0,1.0,0.0,0.0,0.0,0.0
mp-3249758,LiSmNi4,Other lithium material,57,Caution,1,1,216,0.0,-0.251978144,3,0,0,0,0,0,0,0.938865,0.0,0.467099,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-15820,LiHoGe,Other lithium material,61,Caution,1,1,189,0.0,-0.707976047,3,0,0,0,0,0,0,0.820961,0.0,0.410708,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-3252978,LiNdAlGa2,Other lithium material,61,Caution,1,1,119,0.0,-0.583221691,4,0,0,0,0,0,0,0.515284,0.0,0.426136,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-756431,Li2CuSnO4,Other lithium material,51,Caution,0,0,74,0.4593,-1.84103911,4,0,0,0,0,0,0,0.318777,0.06147,0.270587,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3209068,Li3MgAs6Pd7,Other lithium material,51,Caution,1,1,166,0.0,-0.580588944,4,0,0,0,0,0,0,0.720524,0.0,0.426461,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-1120720,Li3InBr6,Other lithium material,53,Caution,0,0,163,2.7553,-1.562941494,3,0,0,0,0,0,0,0.707424,0.368755,0.304978,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-675779,Li2Mo3S4,Li-S or sulfide-family,78,Research Candidate,1,1,1,1.354,-1.144519546,3,0,0,0,0,0,1,0.0,0.181212,0.356723,0.25,0.0,0.0,0.0,0.0,0.0,1.0
mp-1176183,Li9Mn2Co5O16,LCO-family,43,Avoid / Benchmark,0,0,1,0.0,-1.766746483,4,0,0,1,0,0,0,0.0,0.0,0.279775,0.5,0.0,0.0,1.0,0.0,0.0,0.0
mp-3249593,LiNdMgHg,Other lithium material,51,Caution,1,1,216,0.1483,-0.384183597,4,0,0,0,0,0,0,0.938865,0.019848,0.45075,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3305163,LiCoPtO4,LCO-family,51,Avoid / Benchmark,1,1,74,1.7789,-1.314837798,4,0,0,0,0,0,0,0.318777,0.238079,0.33566,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-780850,Li3Mn4(BO3)4,LMO-family,82,Research Candidate,0,0,2,0.0188,-2.466480541,4,0,0,1,0,0,0,0.004367,0.002516,0.193242,0.5,0.0,0.0,1.0,0.0,0.0,0.0
mp-775890,Li7V6(OF)12,Other lithium material,49,Caution,0,0,1,0.2978,-2.708916603,4,0,0,0,0,0,0,0.0,0.039856,0.163261,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-12448,LiSm2OsO6,Other lithium material,61,Caution,1,1,14,0.3961,-2.842934519,4,0,0,0,0,0,0,0.056769,0.053012,0.146688,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-1174992,Li7Mn2(CoO4)3,LCO-family,44,Avoid / Benchmark,0,0,1,0.0,-1.872264442,4,0,0,1,0,0,0,0.0,0.0,0.266726,0.5,0.0,0.0,1.0,0.0,0.0,0.0
mp-16181,Li6Ca12Re4N16O3,Other lithium material,61,Caution,1,1,220,0.0,-1.306489036,5,0,0,0,0,0,0,0.956332,0.0,0.336693,0.75,0.0,0.0,0.0,0.0,0.0,0.0
mp-37480,LiSbSe2,Other lithium material,55,Caution,0,0,141,0.2287,-0.714340674,3,0,0,0,0,0,0,0.611354,0.030608,0.409921,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-1293011,Li2VOF3,Other lithium material,47,Caution,0,0,1,1.7051,-2.962974099,4,0,0,0,0,0,0,0.0,0.228202,0.131843,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-861716,Li2Fe2(SiO3)3,Silicon-family,80,Research Candidate,0,0,145,2.5827,-2.643430485,4,1,0,0,0,1,0,0.628821,0.345655,0.171359,0.5,1.0,0.0,0.0,0.0,1.0,0.0
mp-893219,Li5Mn6(BO3)6,LMO-family,75,Research Candidate,0,0,1,0.0916,-2.153550627,4,0,0,1,0,0,0,0.0,0.012259,0.231941,0.5,0.0,0.0,1.0,0.0,0.0,0.0
mp-557892,BaLi(BS2)3,Li-S or sulfide-family,78,Research Candidate,1,1,9,2.8597,-1.198350985,4,0,0,0,0,0,1,0.034934,0.382727,0.350066,0.5,0.0,0.0,0.0,0.0,0.0,1.0
mp-753223,LiVSiO4,Silicon-family,77,Research Candidate,0,0,74,1.7552,-2.774515049,4,0,0,0,0,1,0,0.318777,0.234907,0.155149,0.5,0.0,0.0,0.0,0.0,1.0,0.0
mp-1175317,Li7Mn5O12,LMO-family,82,Research Candidate,0,0,2,0.0,-2.1412838,3,0,0,1,0,0,0,0.004367,0.0,0.233457,0.25,0.0,0.0,1.0,0.0,0.0,0.0
mp-759186,LiVF5,Other lithium material,47,Caution,0,0,14,2.0748,-3.017684099,3,0,0,0,0,0,0,0.056769,0.27768,0.125077,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-1174632,Li4MnCo2O7,LCO-family,44,Avoid / Benchmark,0,0,1,0.9415,-1.847278464,4,0,0,1,0,0,0,0.0,0.126005,0.269816,0.5,0.0,0.0,1.0,0.0,0.0,0.0
mp-753754,LiVSiO4,Silicon-family,77,Research Candidate,0,0,14,2.5454,-2.772939268,4,0,0,0,0,1,0,0.056769,0.340663,0.155344,0.5,0.0,0.0,0.0,0.0,1.0,0.0
mp-3261285,LiHo3Ir8,Other lithium material,61,Caution,1,1,156,0.0,-0.777336792,3,0,0,0,0,0,0,0.676856,0.0,0.40213,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-3253300,Li2NdAgAs2,Other lithium material,51,Caution,1,1,156,0.5139,-0.98486157,4,0,0,0,0,0,0,0.676856,0.068778,0.376467,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-559584,LiCaNiF6,Other lithium material,53,Caution,1,1,163,0.0,-2.984132798,4,0,0,0,0,0,0,0.707424,0.0,0.129226,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-752946,Li2CoSiO4,LCO-family,45,Avoid / Benchmark,0,0,12,2.5097,-2.48455979,4,0,0,0,0,1,0,0.048035,0.335885,0.191006,0.5,0.0,0.0,0.0,0.0,1.0,0.0
mp-1022597,LiMg6Zn,Other lithium material,51,Caution,0,0,38,0.0,-0.001809651,3,0,0,0,0,0,0,0.161572,0.0,0.498036,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-6270,Ba2LiReO6,Other lithium material,61,Caution,1,1,225,1.8198,-2.741621016,4,0,0,0,0,0,0,0.978166,0.243553,0.159217,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-1111291,Li3AlF6,Other lithium material,46,Caution,0,0,225,6.5056,-3.306112348,3,0,0,0,0,0,0,0.978166,0.870675,0.089409,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-3323200,Li4IrO5,Other lithium material,61,Caution,1,1,2,0.5541,-1.706274046,3,0,0,0,0,0,0,0.004367,0.074158,0.287253,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-766018,Li2Mn(CO3)2,LMO-family,82,Research Candidate,0,0,1,3.8102,-2.075723229,4,0,0,1,1,0,0,0.0,0.509937,0.241565,0.5,0.0,0.0,1.0,1.0,0.0,0.0
mp-1211106,LiPr2RuO6,Other lithium material,61,Caution,1,1,14,0.3015,-2.786508984,4,0,0,0,0,0,0,0.056769,0.040351,0.153666,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3223992,Li4Tb(SmPb2)2,Other lithium material,51,Caution,1,1,71,0.0,-0.642329244,4,0,0,0,0,0,0,0.305677,0.0,0.418826,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-25388,Li(NiO2)2,Other lithium material,49,Caution,0,0,227,0.0,-1.190993881,3,0,0,0,0,0,0,0.9869,0.0,0.350975,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-1290870,Li3Mn(PO4)2,LMO-family,86,Research Candidate,0,0,2,1.3687,-2.595966335,4,0,1,1,0,0,0,0.004367,0.18318,0.177229,0.5,0.0,1.0,1.0,0.0,0.0,0.0
mp-3206970,LiPdRhF6,Other lithium material,57,Caution,1,1,163,1.188,-1.98719075,4,0,0,0,0,0,0,0.707424,0.158996,0.252513,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-801254,LiVFe(P2O7)2,LFP-family,89,Recommend,0,0,1,0.0,1.115129878,5,1,1,0,0,0,0,0.0,0.0,0.636163,0.75,1.0,1.0,0.0,0.0,0.0,0.0
