dss_rank,formula,material_id,battery_family,dss_decision,shortlist_score,india_feasibility_score,predicted_stable_probability,predicted_energy_above_hull_clipped,band_gap,is_stable,shortlist_rule_type,short_conceptual_reason
1,Li3Fe2(PO4)3,mp-19430,LFP-family,Best near-term purchase direction,59.52,98,0.16767046,0.011649002,2.4773,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0116; stable probability 0.1677.
25,Li8Fe7Cu(PO4)12,mp-1177097,LFP-family,Best near-term purchase direction,53.67,96,0.0016338566,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0016.
26,Li5Fe2P2(CO7)2,mp-768689,LFP-family,Best near-term purchase direction,53.66,98,0.0022154883,0.0037170467,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0037; stable probability 0.0022.
27,LiFePO4,mp-18951,LFP-family,Best near-term purchase direction,53.63,98,0.13035166,0.03265646,3.5746,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0327; stable probability 0.1304.
28,Li2ZrFe(PO4)3,mp-706279,LFP-family,Best near-term purchase direction,53.29,93,0.016335147,0.0,2.0169,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 93; predicted hull 0.0000; stable probability 0.0163.
29,Li3Fe2P2(CO7)2,mp-768557,LFP-family,Best near-term purchase direction,52.96,96,0.0022154883,0.0037170467,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0037; stable probability 0.0022.
30,Li3Fe2P2(CO7)2,mp-1177718,LFP-family,Best near-term purchase direction,52.96,96,0.0022154883,0.0037170467,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0037; stable probability 0.0022.
31,LiFePO4,mp-757019,LFP-family,Best near-term purchase direction,52.61,94,0.124561734,0.029470569,3.6715,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0295; stable probability 0.1246.
32,Li8Fe7Ni(PO4)12,mp-780776,LFP-family,Best near-term purchase direction,52.28,92,0.0018307675,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 92; predicted hull 0.0000; stable probability 0.0018.
33,NaLi2FePCO7,mp-756248,LFP-family,Best near-term purchase direction,51.81,100,0.0072511258,0.017579619,4.1429,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0176; stable probability 0.0073.
34,Na5LiFe2P2(CO7)2,mp-772306,LFP-family,Best near-term purchase direction,51.64,100,0.006431061,0.018262483,3.8063,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0183; stable probability 0.0064.
35,Na5LiFe2P2(CO7)2,mp-772670,LFP-family,Best near-term purchase direction,51.64,100,0.006431061,0.018262483,3.8022,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0183; stable probability 0.0064.
36,Li4FeNi5(PO4)6,mp-766569,LFP-family,Best near-term purchase direction,51.58,90,0.0018307675,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 90; predicted hull 0.0000; stable probability 0.0018.
37,Li6Fe3Ni(PO4)6,mp-771187,LFP-family,Best near-term purchase direction,51.58,90,0.0018307675,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 90; predicted hull 0.0000; stable probability 0.0018.
38,LiFePCO7,mp-779101,LFP-family,Best near-term purchase direction,50.55,96,0.0022611197,0.015760418,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0158; stable probability 0.0023.
39,NaLi5Fe2P2(CO7)2,mp-772636,LFP-family,Best near-term purchase direction,50.35,98,0.01726947,0.023616038,1.7989,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0236; stable probability 0.0173.
40,Li2ZrFe(PO4)3,mp-766132,LFP-family,Best near-term purchase direction,50.25,98,0.023902249,0.025645217,2.4566,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0256; stable probability 0.0239.
41,NaLi5Fe2P2(CO7)2,mp-772293,LFP-family,Best near-term purchase direction,50.03,98,0.01908355,0.025632437,1.9868,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0256; stable probability 0.0191.
42,Li2VFeP2(HO5)2,mp-760822,LFP-family,Best near-term purchase direction,49.39,98,0.02872748,0.03103274,1.7603,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0287.
43,Li2VFeP2(HO5)2,mp-1177767,LFP-family,Best near-term purchase direction,49.39,98,0.02872748,0.03103274,1.7583,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0287.
44,Li2VFeP2(HO5)2,mp-1177777,LFP-family,Best near-term purchase direction,49.39,98,0.02872748,0.03103274,1.7599,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0287.
45,Li2VFeP2(HO5)2,mp-1177768,LFP-family,Best near-term purchase direction,49.36,98,0.02920625,0.03127998,1.8858,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0313; stable probability 0.0292.
46,Li2VFeP2(HO5)2,mp-760034,LFP-family,Best near-term purchase direction,49.12,98,0.022716995,0.03103274,1.5143,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0227.
47,Na5LiFe2P2(CO7)2,mp-768938,LFP-family,Best near-term purchase direction,48.97,100,0.0025694561,0.030743422,3.7615,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0307; stable probability 0.0026.
48,Na2LiFePCO7,mp-772930,LFP-family,Best near-term purchase direction,48.93,100,0.0028847326,0.031008067,3.8439,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0029.
49,Na3Li3Fe2P2(CO7)2,mp-1176351,LFP-family,Best near-term purchase direction,48.93,100,0.0028847326,0.031008067,3.8891,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0029.
50,Na2LiFePCO7,mp-1176411,LFP-family,Best near-term purchase direction,48.93,100,0.0028847326,0.031008067,3.8533,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0029.
51,Na3Li3Fe2P2(CO7)2,mp-771006,LFP-family,Best near-term purchase direction,48.92,100,0.0027892338,0.031008067,3.9639,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0028.
52,Na2LiFePCO7,mp-1176381,LFP-family,Best near-term purchase direction,48.91,100,0.0025694561,0.031008067,3.7638,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0026.
53,Na2LiFePCO7,mp-1176400,LFP-family,Best near-term purchase direction,48.91,100,0.0025694561,0.031008067,3.8095,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0026.
54,LiVFeP2(O4F)2,mp-777388,LFP-family,Best near-term purchase direction,48.84,92,0.045593247,0.027051492,1.7351,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 92; predicted hull 0.0271; stable probability 0.0456.
55,Li2FeP2O7,mp-755006,LFP-family,Best near-term purchase direction,48.82,96,0.02148268,0.028748205,4.1132,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0287; stable probability 0.0215.
56,Li3Ti3Fe(PO4)6,mp-695021,LFP-family,Best near-term purchase direction,48.74,100,0.082520574,0.049864203,2.3884,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0499; stable probability 0.0825.
57,Li2FePCO7,mp-768485,LFP-family,Best near-term purchase direction,48.56,100,0.031708557,0.039347798,2.1632,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0393; stable probability 0.0317.
58,LiVFeP2(HO5)2,mp-760043,LFP-family,Best near-term purchase direction,48.42,96,0.022716995,0.03103274,1.59,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0310; stable probability 0.0227.
59,LiVFeP2(HO5)2,mp-760163,LFP-family,Best near-term purchase direction,48.42,96,0.022716995,0.03103274,1.5817,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0310; stable probability 0.0227.
60,Na3Li3Fe2P2(CO7)2,mp-772931,LFP-family,Best near-term purchase direction,48.38,98,0.038981277,0.038378015,2.1884,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0384; stable probability 0.0390.
61,Li2FePCO7,mp-768624,LFP-family,Best near-term purchase direction,48.35,100,0.02488097,0.038844913,2.441,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0388; stable probability 0.0249.
62,Na2LiFePCO7,mp-773122,LFP-family,Best near-term purchase direction,48.27,98,0.0025694561,0.030743422,3.7533,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0307; stable probability 0.0026.
63,Na2LiFePCO7,mp-1176392,LFP-family,Best near-term purchase direction,48.25,100,0.012285716,0.036504343,1.4357,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0365; stable probability 0.0123.
64,Na3Li3Fe2P2(CO7)2,mp-771022,LFP-family,Best near-term purchase direction,48.23,98,0.0029873888,0.031008067,3.9313,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0030.
65,NaLi2FePCO7,mp-772927,LFP-family,Best near-term purchase direction,48.23,98,0.0029873888,0.031008067,3.9249,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0030.
66,Na3Li3Fe2P2(CO7)2,mp-1176354,LFP-family,Best near-term purchase direction,48.23,98,0.0029873888,0.031008067,3.9236,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0030.
67,Na3Li3Fe2P2(CO7)2,mp-1176362,LFP-family,Best near-term purchase direction,48.23,98,0.0029873888,0.031008067,3.9175,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0030.
68,NaLi2FePCO7,mp-772717,LFP-family,Best near-term purchase direction,48.22,98,0.0027892338,0.031008067,4.0107,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0028.
69,NaLi2FePCO7,mp-1101482,LFP-family,Best near-term purchase direction,48.22,98,0.0027892338,0.031008067,3.9918,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0028.
70,NaLi2FePCO7,mp-1667139,LFP-family,Best near-term purchase direction,48.22,98,0.0027892338,0.031008067,3.9832,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0028.
71,Li2FePCO7,mp-768508,LFP-family,Best near-term purchase direction,48.21,100,0.023930272,0.039347798,2.1108,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0393; stable probability 0.0239.
72,Na3Li3Fe2P2(CO7)2,mp-755665,LFP-family,Best near-term purchase direction,48.2,98,0.0023093445,0.031008067,4.0329,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0023.
73,NaLi2FePCO7,mp-771007,LFP-family,Best near-term purchase direction,48.2,98,0.0023093445,0.031008067,4.0433,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0023.
74,Na5LiFe2P2(CO7)2,mp-1176343,LFP-family,Best near-term purchase direction,48.17,100,0.0038941696,0.035009976,3.6433,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0350; stable probability 0.0039.
75,Li2VFe(P2O7)2,mp-1177781,LFP-family,Best near-term purchase direction,48.17,100,0.04810081,0.044995315,1.9038,True,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0450; stable probability 0.0481.
76,LiFe2(P2O7)2,mp-1200149,LFP-family,Best near-term purchase direction,48.07,94,0.02793269,0.030418562,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0304; stable probability 0.0279.
77,Na5LiFe2P2(CO7)2,mp-1176585,LFP-family,Best near-term purchase direction,47.94,100,0.004272744,0.036270354,3.5469,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0363; stable probability 0.0043.
78,Li2FePCO7,mp-1177947,LFP-family,Best near-term purchase direction,47.94,100,0.009101786,0.037331402,1.7891,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0373; stable probability 0.0091.
79,Li2FeCu(PO4)2,mp-758722,LFP-family,Best near-term purchase direction,47.94,96,0.0015370344,0.028625501,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0286; stable probability 0.0015.
80,Li4FeCu3(PO4)4,mp-1177402,LFP-family,Best near-term purchase direction,47.84,96,0.0018242882,0.029219268,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0292; stable probability 0.0018.
81,NaLi2FePCO7,mp-1101703,LFP-family,Best near-term purchase direction,47.8,98,0.026196545,0.038378015,2.0244,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0384; stable probability 0.0262.
82,LiFePHO5,mp-705884,LFP-family,Best near-term purchase direction,47.8,98,0.053294398,0.04449243,2.3934,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0445; stable probability 0.0533.
83,Li2FePCO7,mp-768648,LFP-family,Best near-term purchase direction,47.78,100,0.006327903,0.03751257,2.461,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0375; stable probability 0.0063.
84,Li2VFeP2(O4F)2,mp-761208,LFP-family,Best near-term purchase direction,47.72,90,0.03629949,0.027051492,1.6101,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 90; predicted hull 0.0271; stable probability 0.0363.
85,Li3Ti3Fe(PO4)6,mp-743603,LFP-family,Best near-term purchase direction,47.68,98,0.074462324,0.049864203,2.4446,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0499; stable probability 0.0745.
86,Li10Mg12Fe(PO4)12,mp-849374,LFP-family,Best near-term purchase direction,47.65,98,0.02414639,0.038675576,4.4817,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0387; stable probability 0.0241.
87,LiFeP2HO7,mp-781683,LFP-family,Best near-term purchase direction,47.59,98,0.02414639,0.03899518,4.45,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0390; stable probability 0.0241.
88,Na2LiFePCO7,mp-773033,LFP-family,Best near-term purchase direction,47.57,98,0.003512331,0.03444273,0.0025,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0344; stable probability 0.0035.
89,Na5LiFe2P2(CO7)2,mp-772514,LFP-family,Best near-term purchase direction,47.56,100,0.0077529983,0.03895127,3.8318,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0390; stable probability 0.0078.
90,Na5LiFe2P2(CO7)2,mp-772536,LFP-family,Best near-term purchase direction,47.5,100,0.0065040574,0.03895127,3.7899,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0390; stable probability 0.0065.
91,Na3Li3Fe2P2(CO7)2,mp-772851,LFP-family,Best near-term purchase direction,47.5,98,0.011211707,0.036504343,1.5272,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0365; stable probability 0.0112.
92,NaLi3Ti2Fe2(PO4)6,mp-744690,LFP-family,Best near-term purchase direction,47.46,98,0.06528949,0.04889442,2.2378,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0489; stable probability 0.0653.
93,NaLi2FePCO7,mp-1101716,LFP-family,Best near-term purchase direction,47.44,98,0.015245686,0.03775222,1.3709,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0378; stable probability 0.0152.
94,Li4Fe2(PO4)3,mp-780568,LFP-family,Best near-term purchase direction,47.42,96,0.004886676,0.031987317,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0320; stable probability 0.0049.
95,NaLi5Fe2P2(CO7)2,mp-1101665,LFP-family,Best near-term purchase direction,47.37,98,0.007125125,0.036270354,3.1758,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0363; stable probability 0.0071.
96,Li4CrFe3Sn2(PO4)6,mp-1177657,LFP-family,Best near-term purchase direction,47.25,96,0.05447857,0.044025533,1.8994,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0440; stable probability 0.0545.
97,NaLi2FePCO7,mp-772718,LFP-family,Best near-term purchase direction,47.23,98,0.00412333,0.036270354,3.4567,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0363; stable probability 0.0041.
98,NaLi5Fe2P2(CO7)2,mp-773801,LFP-family,Best near-term purchase direction,47.23,98,0.00412333,0.036270354,3.4564,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0363; stable probability 0.0041.
99,Li5Fe2P2(CO7)2,mp-770138,LFP-family,Best near-term purchase direction,47.19,98,0.008567957,0.037474126,1.4142,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0375; stable probability 0.0086.
100,Li3FePCO7,mp-1177667,LFP-family,Best near-term purchase direction,47.19,96,0.0022691654,0.03256819,3.7475,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0326; stable probability 0.0023.
101,LiFe2(PO4)3,mp-26581,LFP-family,Best near-term purchase direction,47.15,94,0.0027509963,0.029361947,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0294; stable probability 0.0028.
102,Li3FePCO7,mp-752696,LFP-family,Best near-term purchase direction,47.13,98,0.008645048,0.037813038,4.3622,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0378; stable probability 0.0086.
103,NaLi3Ti2Fe2(PO4)6,mp-849337,LFP-family,Best near-term purchase direction,47.07,100,0.064568214,0.05419085,2.4454,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0542; stable probability 0.0646.
104,Li3ZnFe2(PO4)3,mp-1223044,LFP-family,Best near-term purchase direction,47.05,98,0.007068606,0.03785256,3.6958,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0379; stable probability 0.0071.
105,Li6CrFe3(PO4)6,mp-766014,LFP-family,Best near-term purchase direction,47.03,96,0.051670775,0.04449243,2.3887,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0445; stable probability 0.0517.
106,Li6Cr3Fe(PO4)6,mp-770489,LFP-family,Best near-term purchase direction,47.03,96,0.051670775,0.04449243,2.3776,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0445; stable probability 0.0517.
107,Li2VFeP2(O4F)2,mp-756057,LFP-family,Best near-term purchase direction,47.02,90,0.047710117,0.03313046,1.8424,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 90; predicted hull 0.0331; stable probability 0.0477.
