dss_rank,material_id,formula,battery_family,dss_decision,shortlist_score,india_feasibility_score,predicted_stable_probability,predicted_energy_above_hull_clipped,band_gap,is_stable,shortlist_rule_type,short_conceptual_reason
1,mp-19430,Li3Fe2(PO4)3,LFP-family,Best near-term purchase direction,59.52,98,0.16767046,0.011649002,2.4773,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0116; stable probability 0.1677.
13,mp-756197,Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,54.41,98,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0000; stable probability 0.0024.
14,mp-1177545,Li3VFeP2(O4F)2,LFP-family,Best near-term purchase direction,53.86,100,0.089776345,0.025876654,2.4464,True,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0259; stable probability 0.0898.
15,mp-25406,LiFePCO7,LFP-family,Best near-term purchase direction,53.77,96,0.0037309455,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0037.
16,mp-768562,LiFePCO7,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
17,mp-768629,LiFePCO7,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
18,mp-768630,LiFePCO7,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
19,mp-779262,LiFePCO7,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
20,mp-779778,LiFePCO7,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
21,mp-1176696,LiFePCO7,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
22,mp-1176704,LiFePCO7,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
23,mp-1176714,LiFePCO7,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
24,mp-1177738,Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
25,mp-1177097,Li8Fe7Cu(PO4)12,LFP-family,Best near-term purchase direction,53.67,96,0.0016338566,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0016.
26,mp-768689,Li5Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,53.66,98,0.0022154883,0.0037170467,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0037; stable probability 0.0022.
27,mp-18951,LiFePO4,LFP-family,Best near-term purchase direction,53.63,98,0.13035166,0.03265646,3.5746,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0327; stable probability 0.1304.
28,mp-706279,Li2ZrFe(PO4)3,LFP-family,Best near-term purchase direction,53.29,93,0.016335147,0.0,2.0169,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 93; predicted hull 0.0000; stable probability 0.0163.
29,mp-768557,Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,52.96,96,0.0022154883,0.0037170467,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0037; stable probability 0.0022.
30,mp-1177718,Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,52.96,96,0.0022154883,0.0037170467,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0037; stable probability 0.0022.
31,mp-757019,LiFePO4,LFP-family,Best near-term purchase direction,52.61,94,0.124561734,0.029470569,3.6715,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0295; stable probability 0.1246.
32,mp-780776,Li8Fe7Ni(PO4)12,LFP-family,Best near-term purchase direction,52.28,92,0.0018307675,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 92; predicted hull 0.0000; stable probability 0.0018.
33,mp-756248,NaLi2FePCO7,LFP-family,Best near-term purchase direction,51.81,100,0.0072511258,0.017579619,4.1429,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0176; stable probability 0.0073.
34,mp-772306,Na5LiFe2P2(CO7)2,LFP-family,Best near-term purchase direction,51.64,100,0.006431061,0.018262483,3.8063,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0183; stable probability 0.0064.
35,mp-772670,Na5LiFe2P2(CO7)2,LFP-family,Best near-term purchase direction,51.64,100,0.006431061,0.018262483,3.8022,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0183; stable probability 0.0064.
36,mp-766569,Li4FeNi5(PO4)6,LFP-family,Best near-term purchase direction,51.58,90,0.0018307675,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 90; predicted hull 0.0000; stable probability 0.0018.
37,mp-771187,Li6Fe3Ni(PO4)6,LFP-family,Best near-term purchase direction,51.58,90,0.0018307675,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 90; predicted hull 0.0000; stable probability 0.0018.
38,mp-779101,LiFePCO7,LFP-family,Best near-term purchase direction,50.55,96,0.0022611197,0.015760418,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0158; stable probability 0.0023.
39,mp-772636,NaLi5Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,50.35,98,0.01726947,0.023616038,1.7989,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0236; stable probability 0.0173.
40,mp-766132,Li2ZrFe(PO4)3,LFP-family,Best near-term purchase direction,50.25,98,0.023902249,0.025645217,2.4566,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0256; stable probability 0.0239.
41,mp-772293,NaLi5Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,50.03,98,0.01908355,0.025632437,1.9868,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0256; stable probability 0.0191.
42,mp-760822,Li2VFeP2(HO5)2,LFP-family,Best near-term purchase direction,49.39,98,0.02872748,0.03103274,1.7603,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0287.
43,mp-1177767,Li2VFeP2(HO5)2,LFP-family,Best near-term purchase direction,49.39,98,0.02872748,0.03103274,1.7583,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0287.
44,mp-1177777,Li2VFeP2(HO5)2,LFP-family,Best near-term purchase direction,49.39,98,0.02872748,0.03103274,1.7599,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0287.
45,mp-1177768,Li2VFeP2(HO5)2,LFP-family,Best near-term purchase direction,49.36,98,0.02920625,0.03127998,1.8858,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0313; stable probability 0.0292.
46,mp-760034,Li2VFeP2(HO5)2,LFP-family,Best near-term purchase direction,49.12,98,0.022716995,0.03103274,1.5143,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0227.
47,mp-768938,Na5LiFe2P2(CO7)2,LFP-family,Best near-term purchase direction,48.97,100,0.0025694561,0.030743422,3.7615,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0307; stable probability 0.0026.
48,mp-772930,Na2LiFePCO7,LFP-family,Best near-term purchase direction,48.93,100,0.0028847326,0.031008067,3.8439,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0029.
49,mp-1176351,Na3Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,48.93,100,0.0028847326,0.031008067,3.8891,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0029.
50,mp-1176411,Na2LiFePCO7,LFP-family,Best near-term purchase direction,48.93,100,0.0028847326,0.031008067,3.8533,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0029.
51,mp-771006,Na3Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,48.92,100,0.0027892338,0.031008067,3.9639,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0028.
52,mp-1176381,Na2LiFePCO7,LFP-family,Best near-term purchase direction,48.91,100,0.0025694561,0.031008067,3.7638,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0026.
53,mp-1176400,Na2LiFePCO7,LFP-family,Best near-term purchase direction,48.91,100,0.0025694561,0.031008067,3.8095,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0310; stable probability 0.0026.
54,mp-777388,LiVFeP2(O4F)2,LFP-family,Best near-term purchase direction,48.84,92,0.045593247,0.027051492,1.7351,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 92; predicted hull 0.0271; stable probability 0.0456.
55,mp-755006,Li2FeP2O7,LFP-family,Best near-term purchase direction,48.82,96,0.02148268,0.028748205,4.1132,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0287; stable probability 0.0215.
56,mp-695021,Li3Ti3Fe(PO4)6,LFP-family,Best near-term purchase direction,48.74,100,0.082520574,0.049864203,2.3884,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0499; stable probability 0.0825.
57,mp-768485,Li2FePCO7,LFP-family,Best near-term purchase direction,48.56,100,0.031708557,0.039347798,2.1632,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0393; stable probability 0.0317.
58,mp-760043,LiVFeP2(HO5)2,LFP-family,Best near-term purchase direction,48.42,96,0.022716995,0.03103274,1.59,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0310; stable probability 0.0227.
59,mp-760163,LiVFeP2(HO5)2,LFP-family,Best near-term purchase direction,48.42,96,0.022716995,0.03103274,1.5817,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0310; stable probability 0.0227.
60,mp-772931,Na3Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,48.38,98,0.038981277,0.038378015,2.1884,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0384; stable probability 0.0390.
61,mp-768624,Li2FePCO7,LFP-family,Best near-term purchase direction,48.35,100,0.02488097,0.038844913,2.441,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0388; stable probability 0.0249.
62,mp-773122,Na2LiFePCO7,LFP-family,Best near-term purchase direction,48.27,98,0.0025694561,0.030743422,3.7533,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0307; stable probability 0.0026.
63,mp-1176392,Na2LiFePCO7,LFP-family,Best near-term purchase direction,48.25,100,0.012285716,0.036504343,1.4357,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0365; stable probability 0.0123.
64,mp-771022,Na3Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,48.23,98,0.0029873888,0.031008067,3.9313,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0030.
65,mp-772927,NaLi2FePCO7,LFP-family,Best near-term purchase direction,48.23,98,0.0029873888,0.031008067,3.9249,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0030.
66,mp-1176354,Na3Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,48.23,98,0.0029873888,0.031008067,3.9236,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0030.
67,mp-1176362,Na3Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,48.23,98,0.0029873888,0.031008067,3.9175,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0030.
68,mp-772717,NaLi2FePCO7,LFP-family,Best near-term purchase direction,48.22,98,0.0027892338,0.031008067,4.0107,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0028.
69,mp-1101482,NaLi2FePCO7,LFP-family,Best near-term purchase direction,48.22,98,0.0027892338,0.031008067,3.9918,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0028.
70,mp-1667139,NaLi2FePCO7,LFP-family,Best near-term purchase direction,48.22,98,0.0027892338,0.031008067,3.9832,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0028.
71,mp-768508,Li2FePCO7,LFP-family,Best near-term purchase direction,48.21,100,0.023930272,0.039347798,2.1108,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0393; stable probability 0.0239.
72,mp-755665,Na3Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,48.2,98,0.0023093445,0.031008067,4.0329,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0023.
73,mp-771007,NaLi2FePCO7,LFP-family,Best near-term purchase direction,48.2,98,0.0023093445,0.031008067,4.0433,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0310; stable probability 0.0023.
74,mp-1176343,Na5LiFe2P2(CO7)2,LFP-family,Best near-term purchase direction,48.17,100,0.0038941696,0.035009976,3.6433,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0350; stable probability 0.0039.
75,mp-1177781,Li2VFe(P2O7)2,LFP-family,Best near-term purchase direction,48.17,100,0.04810081,0.044995315,1.9038,True,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0450; stable probability 0.0481.
76,mp-1200149,LiFe2(P2O7)2,LFP-family,Best near-term purchase direction,48.07,94,0.02793269,0.030418562,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0304; stable probability 0.0279.
77,mp-1176585,Na5LiFe2P2(CO7)2,LFP-family,Best near-term purchase direction,47.94,100,0.004272744,0.036270354,3.5469,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0363; stable probability 0.0043.
78,mp-1177947,Li2FePCO7,LFP-family,Best near-term purchase direction,47.94,100,0.009101786,0.037331402,1.7891,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0373; stable probability 0.0091.
79,mp-758722,Li2FeCu(PO4)2,LFP-family,Best near-term purchase direction,47.94,96,0.0015370344,0.028625501,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0286; stable probability 0.0015.
80,mp-1177402,Li4FeCu3(PO4)4,LFP-family,Best near-term purchase direction,47.84,96,0.0018242882,0.029219268,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0292; stable probability 0.0018.
81,mp-1101703,NaLi2FePCO7,LFP-family,Best near-term purchase direction,47.8,98,0.026196545,0.038378015,2.0244,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0384; stable probability 0.0262.
82,mp-705884,LiFePHO5,LFP-family,Best near-term purchase direction,47.8,98,0.053294398,0.04449243,2.3934,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0445; stable probability 0.0533.
83,mp-768648,Li2FePCO7,LFP-family,Best near-term purchase direction,47.78,100,0.006327903,0.03751257,2.461,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0375; stable probability 0.0063.
84,mp-761208,Li2VFeP2(O4F)2,LFP-family,Best near-term purchase direction,47.72,90,0.03629949,0.027051492,1.6101,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 90; predicted hull 0.0271; stable probability 0.0363.
85,mp-743603,Li3Ti3Fe(PO4)6,LFP-family,Best near-term purchase direction,47.68,98,0.074462324,0.049864203,2.4446,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0499; stable probability 0.0745.
86,mp-849374,Li10Mg12Fe(PO4)12,LFP-family,Best near-term purchase direction,47.65,98,0.02414639,0.038675576,4.4817,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0387; stable probability 0.0241.
87,mp-781683,LiFeP2HO7,LFP-family,Best near-term purchase direction,47.59,98,0.02414639,0.03899518,4.45,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0390; stable probability 0.0241.
88,mp-773033,Na2LiFePCO7,LFP-family,Best near-term purchase direction,47.57,98,0.003512331,0.03444273,0.0025,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0344; stable probability 0.0035.
89,mp-772514,Na5LiFe2P2(CO7)2,LFP-family,Best near-term purchase direction,47.56,100,0.0077529983,0.03895127,3.8318,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0390; stable probability 0.0078.
90,mp-772536,Na5LiFe2P2(CO7)2,LFP-family,Best near-term purchase direction,47.5,100,0.0065040574,0.03895127,3.7899,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0390; stable probability 0.0065.
91,mp-772851,Na3Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,47.5,98,0.011211707,0.036504343,1.5272,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0365; stable probability 0.0112.
92,mp-744690,NaLi3Ti2Fe2(PO4)6,LFP-family,Best near-term purchase direction,47.46,98,0.06528949,0.04889442,2.2378,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0489; stable probability 0.0653.
93,mp-1101716,NaLi2FePCO7,LFP-family,Best near-term purchase direction,47.44,98,0.015245686,0.03775222,1.3709,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0378; stable probability 0.0152.
94,mp-780568,Li4Fe2(PO4)3,LFP-family,Best near-term purchase direction,47.42,96,0.004886676,0.031987317,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0320; stable probability 0.0049.
95,mp-1101665,NaLi5Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,47.37,98,0.007125125,0.036270354,3.1758,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0363; stable probability 0.0071.
96,mp-1177657,Li4CrFe3Sn2(PO4)6,LFP-family,Best near-term purchase direction,47.25,96,0.05447857,0.044025533,1.8994,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0440; stable probability 0.0545.
97,mp-772718,NaLi2FePCO7,LFP-family,Best near-term purchase direction,47.23,98,0.00412333,0.036270354,3.4567,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0363; stable probability 0.0041.
98,mp-773801,NaLi5Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,47.23,98,0.00412333,0.036270354,3.4564,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0363; stable probability 0.0041.
99,mp-770138,Li5Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,47.19,98,0.008567957,0.037474126,1.4142,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0375; stable probability 0.0086.
100,mp-1177667,Li3FePCO7,LFP-family,Best near-term purchase direction,47.19,96,0.0022691654,0.03256819,3.7475,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0326; stable probability 0.0023.
101,mp-26581,LiFe2(PO4)3,LFP-family,Best near-term purchase direction,47.15,94,0.0027509963,0.029361947,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0294; stable probability 0.0028.
102,mp-752696,Li3FePCO7,LFP-family,Best near-term purchase direction,47.13,98,0.008645048,0.037813038,4.3622,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0378; stable probability 0.0086.
103,mp-849337,NaLi3Ti2Fe2(PO4)6,LFP-family,Best near-term purchase direction,47.07,100,0.064568214,0.05419085,2.4454,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0542; stable probability 0.0646.
104,mp-1223044,Li3ZnFe2(PO4)3,LFP-family,Best near-term purchase direction,47.05,98,0.007068606,0.03785256,3.6958,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0379; stable probability 0.0071.
105,mp-766014,Li6CrFe3(PO4)6,LFP-family,Best near-term purchase direction,47.03,96,0.051670775,0.04449243,2.3887,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0445; stable probability 0.0517.
106,mp-770489,Li6Cr3Fe(PO4)6,LFP-family,Best near-term purchase direction,47.03,96,0.051670775,0.04449243,2.3776,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0445; stable probability 0.0517.
107,mp-756057,Li2VFeP2(O4F)2,LFP-family,Best near-term purchase direction,47.02,90,0.047710117,0.03313046,1.8424,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 90; predicted hull 0.0331; stable probability 0.0477.
